N,P,K,temperature,humidity,ph,rainfall,OM,label
104.1,30.9,20.6,27.17,66.18,6.89,67.34,2.06,Corn
56.8,20.0,42.6,26.59,80.89,5.4,126.0,2.12,Cacao
92.2,48.9,25.5,27.92,90.16,5.22,173.09,2.93,Rice
106.8,48.1,19.2,24.87,64.63,5.73,123.04,3.04,Corn
48.4,51.8,66.2,25.92,72.17,5.67,126.58,2.48,Sweet Potato
60.7,63.9,63.7,23.41,77.44,6.44,136.22,3.34,Cacao
107.8,55.2,100.1,27.55,83.16,5.42,135.92,3.35,Papaya
95.8,46.6,125.7,26.94,80.95,6.5,189.01,3.0,Durian
48.4,38.7,165.2,26.77,80.92,5.95,191.75,2.08,Coconut
30.4,10.1,57.7,30.55,85.0,4.97,141.13,1.55,Cassava
44.3,40.0,45.7,23.57,60.29,5.85,128.85,2.58,Mango
110.5,51.1,135.8,28.04,87.37,5.81,212.18,4.8,Banana
97.6,49.9,71.8,26.74,87.89,6.47,263.7,2.12,Durian
51.3,70.0,158.8,26.57,78.77,5.97,99.02,1.01,Sweet Potato
100.8,52.9,86.4,31.86,83.69,6.22,213.08,3.34,Banana
41.3,44.4,98.7,26.2,84.26,6.27,120.0,3.6,Cacao
41.6,10.0,53.2,31.08,77.97,5.81,101.2,0.6,Cassava
51.0,40.3,26.8,24.78,75.82,6.54,254.79,3.28,Rice
105.6,61.2,45.7,23.83,77.71,5.89,75.7,2.6,Tomato
76.3,55.2,40.2,24.97,76.48,6.42,62.23,2.17,Tomato
85.3,27.5,37.0,27.71,75.63,5.74,264.95,2.56,Rice
25.9,46.2,92.3,25.85,80.73,6.38,174.33,2.41,Coconut
107.5,85.7,45.5,27.43,70.26,6.36,87.58,2.25,Tomato
80.4,36.4,92.7,28.68,59.8,5.88,147.33,2.17,Papaya
140.9,54.5,94.4,27.24,81.52,6.37,169.0,2.01,Banana
132.5,74.0,65.3,25.16,63.05,5.77,102.09,2.29,Eggplant
143.4,32.6,165.8,27.82,83.29,5.59,215.0,3.88,Banana
51.2,35.2,108.0,31.02,84.86,6.8,198.23,3.28,Durian
62.6,34.0,67.4,27.87,67.52,5.38,125.97,2.53,Mango
84.1,50.1,114.7,31.99,76.5,6.12,123.89,3.13,Papaya
50.0,38.7,121.3,25.66,79.43,5.7,280.0,2.46,Coconut
91.4,73.6,121.7,28.88,73.29,5.45,217.49,2.75,Papaya
44.4,36.6,119.7,20.4,85.19,5.59,174.57,3.19,Cacao
78.4,45.5,67.5,28.85,90.1,6.22,237.4,3.89,Durian
114.5,40.2,30.9,21.45,71.68,6.54,57.1,2.32,Corn
105.1,30.0,79.5,26.46,66.92,6.59,113.55,3.16,Eggplant
137.8,57.9,73.1,28.92,73.4,6.66,104.4,1.57,Tomato
62.0,31.4,50.4,24.07,58.36,7.13,117.92,2.61,Mango
100.5,66.0,64.0,26.05,63.21,6.36,85.53,2.65,Eggplant
40.9,45.3,42.2,28.06,72.85,5.96,176.61,3.61,Rice
113.0,74.7,59.6,23.69,62.05,5.9,80.59,2.31,Tomato
69.6,20.7,67.1,24.75,81.02,6.53,162.91,4.0,Cacao
57.0,25.1,27.9,27.27,66.12,6.28,89.47,1.67,Corn
97.2,73.8,77.0,23.65,65.48,5.54,68.65,2.45,Tomato
111.1,61.0,54.7,28.76,66.99,5.91,103.07,2.57,Eggplant
96.8,52.1,39.7,27.78,93.31,5.14,203.52,2.44,Rice
22.6,22.8,111.4,26.22,80.05,6.43,280.0,2.13,Coconut
59.1,70.7,109.8,24.5,70.0,5.77,342.8,2.41,Durian
48.6,37.8,108.5,34.92,61.32,5.71,102.65,1.56,Cassava
52.9,37.1,114.1,24.35,67.46,5.53,112.95,1.92,Sweet Potato
51.7,61.6,91.0,27.13,74.37,6.49,132.02,2.05,Sweet Potato
106.9,79.5,74.0,25.67,62.74,6.1,88.42,3.5,Tomato
77.8,59.3,83.8,29.28,80.87,6.38,292.89,3.1,Durian
88.8,55.4,57.6,29.73,66.41,6.29,76.09,2.88,Tomato
11.4,45.1,51.4,26.51,80.4,5.02,110.48,0.98,Cassava
94.8,33.8,34.3,30.91,77.49,6.24,212.62,3.02,Rice
30.0,57.6,81.5,23.14,87.07,5.16,129.68,2.72,Cacao
47.7,44.9,102.9,27.23,61.92,5.86,140.67,2.3,Sweet Potato
115.5,63.4,109.6,29.71,74.35,6.63,55.4,2.91,Tomato
71.5,47.9,34.8,26.63,91.18,5.76,228.43,2.48,Rice
50.8,38.7,60.4,26.71,80.44,5.62,192.87,3.88,Cacao
89.7,80.6,56.8,25.86,65.79,6.79,112.13,2.93,Tomato
49.0,28.5,65.6,24.21,56.72,6.61,115.6,2.13,Mango
69.8,37.4,97.0,27.03,77.46,6.51,173.67,2.78,Durian
119.5,43.4,55.2,24.18,65.72,5.76,55.46,2.53,Tomato
96.5,82.5,72.5,23.23,76.35,6.5,77.74,2.29,Tomato
53.7,35.0,116.9,24.88,85.87,6.3,125.68,1.7,Coconut
94.9,56.7,29.0,28.61,75.88,7.01,205.1,2.98,Rice
54.0,70.0,145.9,26.05,68.52,6.43,103.35,1.87,Sweet Potato
29.3,51.7,125.0,29.14,80.48,5.85,153.18,2.18,Coconut
114.7,52.6,50.3,21.12,69.93,5.81,84.79,3.1,Tomato
108.8,45.7,89.9,26.99,67.93,5.98,124.8,2.61,Papaya
96.6,59.2,84.0,28.15,83.44,5.5,274.62,4.42,Durian
43.8,18.9,86.2,26.84,61.86,4.5,157.54,1.1,Cassava
124.0,62.4,53.8,25.57,68.0,6.25,130.45,1.82,Corn
79.7,33.8,80.3,26.08,84.91,5.88,159.48,2.55,Cacao
45.2,40.6,78.3,28.27,82.18,7.0,166.76,3.06,Cacao
49.4,27.0,113.5,28.24,75.3,6.58,156.91,1.62,Coconut
42.0,37.7,150.3,29.21,75.92,5.76,203.08,3.06,Coconut
45.7,25.2,40.0,30.32,68.03,6.37,133.83,1.2,Cassava
23.6,32.3,145.1,29.39,69.65,5.84,193.66,3.17,Coconut
40.8,36.0,120.4,28.39,80.9,6.66,222.13,3.47,Durian
119.8,41.5,27.9,27.11,56.04,6.12,150.0,2.23,Corn
118.8,57.1,15.9,24.96,76.06,5.71,79.11,1.84,Corn
79.0,50.4,29.8,25.05,72.88,6.03,106.73,2.19,Corn
61.6,49.3,37.9,31.62,79.12,5.68,108.21,2.58,Eggplant
96.5,58.2,74.4,31.46,78.45,5.79,125.37,3.48,Papaya
80.3,69.6,23.8,29.85,68.52,6.38,150.0,1.7,Corn
51.8,45.2,88.6,32.0,84.9,5.54,207.87,3.02,Cacao
85.9,69.0,25.0,28.35,83.73,6.7,234.61,3.98,Rice
96.8,36.0,42.3,27.46,68.58,6.03,113.42,1.9,Corn
42.4,42.5,142.8,26.3,70.13,5.48,119.76,1.03,Sweet Potato
114.8,41.3,119.3,28.46,66.38,5.73,203.19,1.53,Papaya
89.3,38.6,174.6,30.1,89.28,6.58,246.68,2.72,Banana
87.0,25.0,37.2,23.69,50.93,5.7,74.9,2.26,Corn
87.1,48.3,89.9,28.78,71.31,6.33,131.04,1.59,Papaya
30.1,37.0,122.4,27.84,73.46,7.43,149.35,3.13,Coconut
103.1,75.7,75.3,24.08,67.73,5.65,64.08,3.05,Tomato
96.7,52.0,109.6,29.87,83.06,6.78,251.56,3.56,Durian
53.6,35.4,25.9,28.1,79.85,7.31,190.28,2.96,Rice
106.4,36.8,139.5,27.69,85.57,5.45,246.15,2.87,Banana
59.9,67.6,71.4,28.88,89.56,5.76,267.46,2.65,Durian
103.1,37.5,90.1,31.25,85.82,6.39,177.03,3.6,Durian
39.6,45.5,131.2,27.5,71.27,5.26,113.45,1.47,Sweet Potato
36.0,31.4,52.7,24.22,82.06,5.52,161.65,3.04,Cacao
43.1,59.5,73.3,23.31,61.74,5.49,169.2,2.32,Mango
46.9,44.3,87.1,29.08,88.62,6.0,193.93,3.06,Cacao
23.3,17.1,40.0,30.9,70.73,6.03,160.31,1.26,Cassava
38.3,33.9,73.2,25.51,77.73,5.61,100.0,3.97,Coconut
142.6,57.1,130.9,28.78,86.2,5.02,257.59,3.08,Banana
46.5,31.6,151.1,27.8,82.35,6.62,154.96,3.39,Coconut
67.4,27.5,60.2,28.46,81.97,6.49,133.55,3.19,Cacao
48.3,37.9,59.2,31.03,88.84,5.5,239.68,2.56,Durian
122.6,37.7,164.1,29.69,80.95,6.27,245.59,4.67,Banana
119.5,50.6,45.8,28.67,75.54,6.32,73.79,2.85,Eggplant
33.5,50.3,170.8,23.87,87.49,6.04,215.83,2.13,Coconut
56.5,35.9,98.8,27.13,62.82,5.87,60.4,2.29,Sweet Potato
112.3,55.6,62.1,26.37,70.46,6.35,97.54,2.54,Eggplant
59.5,58.2,60.0,31.73,85.0,5.67,127.82,1.89,Sweet Potato
116.9,45.8,80.0,28.24,94.04,6.78,243.49,2.03,Banana
60.9,44.8,62.3,32.23,73.5,5.77,117.84,1.61,Eggplant
83.7,49.3,61.8,27.55,64.09,5.95,124.04,2.92,Papaya
61.5,38.8,102.3,25.76,78.54,6.54,225.01,2.09,Durian
66.9,48.2,63.8,25.5,54.0,6.09,82.37,2.83,Mango
29.2,22.8,90.8,28.84,64.42,5.75,116.0,0.99,Cassava
120.6,54.2,32.2,23.5,59.79,6.45,117.26,1.05,Corn
80.7,54.8,62.9,30.12,84.19,6.27,326.18,3.29,Durian
95.6,80.1,82.7,27.28,64.73,6.45,104.37,3.14,Tomato
58.1,23.0,43.7,27.16,90.22,5.97,150.0,4.15,Rice
56.9,25.0,74.7,27.05,79.75,6.51,287.13,3.24,Durian
84.0,50.6,35.0,32.72,64.14,6.04,79.6,2.54,Corn
78.1,48.1,63.6,24.87,78.44,6.26,300.0,2.77,Rice
68.5,38.7,46.4,25.71,86.24,5.13,239.87,2.76,Rice
149.8,36.5,146.7,25.77,73.85,5.93,200.6,2.82,Banana
162.8,48.2,154.0,27.8,82.52,6.03,203.97,2.66,Banana
127.7,43.5,144.5,27.91,87.92,6.44,187.08,3.94,Banana
32.1,25.2,81.9,27.27,85.71,4.52,181.53,3.77,Cacao
29.9,49.1,114.6,25.97,86.59,5.71,222.65,2.65,Coconut
99.6,43.7,72.7,26.86,64.05,6.82,92.97,1.61,Tomato
98.8,25.9,32.5,27.76,54.44,6.42,116.01,2.64,Corn
35.9,26.9,111.4,25.47,72.56,6.94,202.21,2.77,Coconut
45.3,23.0,82.2,23.43,74.74,6.16,142.31,2.44,Coconut
37.2,35.3,100.3,25.46,74.54,6.52,228.46,3.27,Coconut
31.2,36.8,138.6,25.4,76.46,7.29,183.46,1.97,Coconut
45.3,22.8,128.7,24.75,81.1,6.4,124.26,2.45,Coconut
119.0,39.2,101.5,28.34,82.09,6.51,142.38,2.1,Banana
90.0,39.3,65.6,24.76,45.0,6.88,170.0,2.67,Mango
96.2,48.6,58.5,26.93,83.25,5.3,262.86,2.31,Rice
93.7,27.2,84.8,27.85,82.62,6.62,264.99,4.05,Durian
56.7,40.1,40.1,24.4,89.46,5.38,153.7,4.12,Cacao
51.0,56.0,88.1,27.66,77.49,5.52,247.21,3.06,Cacao
42.9,13.5,75.6,30.01,72.09,5.81,102.69,1.32,Cassava
31.6,43.7,84.9,26.61,55.16,7.23,133.17,1.38,Mango
62.4,47.7,51.4,23.85,88.83,5.75,225.7,2.74,Rice
49.1,37.0,49.5,24.67,52.85,6.32,122.64,2.55,Mango
74.2,25.2,111.4,25.8,71.75,6.34,259.17,2.51,Durian
111.1,56.2,79.7,26.38,55.0,7.49,66.0,3.09,Eggplant
120.2,50.1,185.1,29.14,91.61,5.59,207.81,3.86,Banana
63.4,39.0,67.0,30.43,85.91,5.46,228.92,2.14,Cacao
107.1,56.7,67.6,30.27,79.21,6.19,190.38,4.13,Durian
101.2,45.4,34.4,23.0,81.37,5.98,202.44,2.51,Rice
25.2,19.8,105.6,28.17,80.1,6.03,147.34,2.58,Coconut
62.9,51.6,73.1,29.71,77.81,6.33,219.34,2.6,Durian
47.0,48.7,86.8,32.15,83.19,6.16,104.23,2.14,Sweet Potato
84.2,76.6,60.4,24.58,59.09,6.02,70.14,2.45,Tomato
45.3,43.7,126.6,29.39,79.26,5.14,156.39,1.99,Coconut
113.8,57.2,169.9,27.95,81.61,6.13,244.49,2.0,Banana
47.4,10.6,92.1,28.75,61.9,6.22,86.36,1.25,Cassava
65.3,45.4,36.6,29.64,78.22,5.94,240.67,3.23,Rice
132.0,45.5,40.1,28.93,63.26,6.39,95.61,1.8,Corn
87.7,60.2,117.2,28.44,74.27,6.13,133.28,2.25,Papaya
53.4,54.4,72.5,27.54,60.98,6.17,108.58,1.04,Mango
51.6,10.0,111.1,27.63,75.72,5.81,127.83,1.94,Cassava
75.8,51.8,75.9,25.71,79.68,6.05,219.27,2.39,Durian
75.1,37.3,41.7,25.48,79.02,5.23,267.48,3.62,Rice
47.9,48.5,106.4,29.99,75.21,7.05,137.13,2.06,Coconut
126.2,55.5,65.5,24.3,61.29,6.58,96.95,2.97,Tomato
39.1,45.5,119.0,26.96,73.46,5.77,111.32,2.3,Sweet Potato
10.0,10.2,79.9,25.64,67.41,6.85,130.51,1.6,Cassava
60.0,85.2,83.8,26.51,60.22,6.52,95.26,2.17,Tomato
26.4,40.4,147.1,29.36,82.51,5.45,158.68,3.21,Coconut
105.8,70.0,37.3,26.08,68.18,6.03,110.27,2.25,Corn
82.0,57.2,106.3,31.45,89.39,6.65,208.21,4.0,Banana
95.7,20.8,45.1,26.76,79.67,6.32,180.87,3.3,Rice
64.6,28.9,65.7,28.61,57.93,6.24,81.47,1.38,Cassava
121.0,91.0,94.0,25.74,70.51,6.24,79.56,1.81,Tomato
148.9,51.9,69.1,26.0,64.3,6.09,137.22,3.04,Eggplant
65.4,67.9,100.4,32.52,77.06,6.18,152.0,3.57,Papaya
68.8,61.5,122.4,30.99,81.01,6.25,226.87,2.87,Durian
59.2,40.1,135.5,29.67,81.59,6.68,229.81,2.03,Durian
26.9,46.1,89.1,24.91,70.4,6.18,89.44,2.0,Sweet Potato
20.0,41.0,44.9,26.92,60.2,6.62,97.62,2.94,Mango
53.6,53.3,61.8,27.62,80.8,6.23,245.55,3.34,Durian
57.5,60.1,115.8,26.72,77.79,5.97,111.82,2.37,Sweet Potato
101.3,31.4,25.3,31.2,86.54,6.16,293.18,3.28,Rice
63.4,55.1,123.4,24.6,74.42,6.41,71.63,1.42,Sweet Potato
60.9,47.4,60.5,23.0,55.0,6.19,136.64,2.72,Eggplant
54.1,16.6,114.8,28.75,70.08,5.94,179.7,2.2,Coconut
59.9,39.8,135.2,27.48,82.99,6.37,286.25,3.45,Durian
98.4,41.7,53.6,27.62,81.93,5.85,196.04,2.89,Rice
60.3,35.4,78.0,29.75,88.53,5.6,177.66,2.84,Cacao
131.2,67.1,60.1,28.47,70.67,5.88,170.0,2.18,Eggplant
73.1,36.0,35.2,26.38,80.0,5.29,118.08,1.57,Corn
45.9,69.8,132.8,28.38,72.53,5.77,80.15,1.65,Sweet Potato
24.3,29.1,199.8,24.89,78.73,5.86,138.63,2.42,Coconut
57.0,43.7,121.5,25.51,75.8,6.02,117.89,1.97,Sweet Potato
113.5,45.7,62.2,28.33,67.45,5.64,117.64,2.5,Eggplant
93.1,74.3,82.6,23.65,57.0,5.99,101.28,2.2,Tomato
28.0,44.1,104.5,22.1,72.81,6.89,216.26,1.79,Coconut
85.8,51.4,76.8,29.94,67.17,6.68,110.7,2.24,Eggplant
38.9,33.2,90.9,23.91,72.36,6.17,65.35,1.99,Sweet Potato
44.1,32.4,82.0,31.54,77.86,6.66,185.91,2.52,Coconut
39.7,34.2,102.9,30.27,82.21,6.04,193.89,2.69,Coconut
150.0,46.9,116.6,27.93,70.17,6.76,113.65,3.05,Papaya
28.8,22.4,99.7,27.16,77.58,5.54,100.98,1.69,Cassava
35.4,15.6,95.2,26.61,73.22,6.07,181.34,1.43,Coconut
69.1,45.0,35.0,25.21,82.7,6.15,299.61,2.95,Rice
41.3,30.6,68.7,25.01,57.75,6.61,123.97,2.53,Mango
147.7,47.9,91.7,29.22,70.86,6.19,115.04,2.67,Papaya
50.3,35.6,98.1,28.08,72.74,5.72,117.49,1.29,Cassava
81.6,44.3,107.4,25.44,58.42,6.15,201.83,2.0,Papaya
90.4,38.0,100.3,30.26,64.07,5.3,173.61,2.95,Papaya
59.5,72.8,110.4,28.62,91.77,6.41,226.85,3.59,Durian
79.1,52.4,38.2,27.5,84.35,5.72,261.01,2.81,Rice
95.5,45.5,141.1,28.84,76.77,5.43,197.19,2.82,Banana
55.7,44.6,44.4,29.64,56.14,6.78,122.83,2.28,Mango
61.9,66.8,129.3,27.73,79.73,6.49,209.69,2.74,Durian
65.6,28.5,139.9,27.45,76.54,5.45,177.55,2.87,Coconut
44.4,63.9,108.9,26.68,75.39,5.93,112.94,2.21,Sweet Potato
95.4,48.7,24.9,24.31,64.78,6.28,92.84,1.0,Corn
25.6,40.1,151.3,27.37,78.43,5.9,203.56,2.95,Coconut
130.9,45.7,95.4,29.17,68.18,6.12,161.36,2.82,Papaya
56.8,31.9,86.7,28.08,73.37,5.74,132.39,1.02,Sweet Potato
25.5,34.7,118.0,28.74,80.88,6.94,125.45,1.28,Coconut
28.0,48.6,147.0,31.76,79.25,5.77,82.43,2.27,Sweet Potato
59.5,31.3,42.8,27.19,80.69,4.8,210.89,3.05,Rice
110.6,49.1,41.5,27.11,80.4,6.12,162.17,2.87,Rice
69.3,28.6,47.8,27.98,73.71,5.49,95.11,2.15,Corn
75.0,44.9,44.5,26.91,73.5,5.8,111.88,2.58,Corn
89.8,43.0,45.6,25.12,84.09,6.15,180.39,3.33,Rice
81.3,49.3,37.1,28.38,71.25,6.55,93.86,1.9,Corn
82.8,39.9,45.9,21.3,64.03,5.67,91.83,2.19,Corn
73.4,65.4,162.5,28.21,84.53,5.13,172.18,4.51,Banana
95.5,53.0,84.1,26.67,82.84,6.3,198.59,3.63,Banana
65.8,28.9,146.8,24.84,75.74,5.88,154.59,2.97,Coconut
92.8,45.8,65.6,26.7,67.92,6.07,126.58,2.78,Tomato
54.8,60.5,127.7,27.28,69.55,6.85,129.47,1.67,Sweet Potato
40.0,61.1,64.2,27.7,87.9,6.82,285.72,2.03,Durian
30.0,41.9,81.0,26.28,75.98,5.12,120.0,4.19,Cacao
46.5,58.5,71.6,27.19,71.51,5.8,118.21,1.81,Sweet Potato
117.4,39.5,170.5,26.86,83.15,5.07,245.23,4.53,Banana
53.7,22.3,84.8,24.45,76.27,5.69,162.42,3.84,Coconut
74.9,52.0,71.8,27.18,61.88,6.91,84.97,2.81,Eggplant
46.7,68.3,110.5,26.52,76.11,5.83,128.02,1.86,Sweet Potato
53.4,31.2,114.4,28.02,75.75,5.72,193.26,1.94,Coconut
90.9,51.9,52.0,31.91,68.36,6.12,135.88,2.14,Papaya
93.6,45.6,28.5,28.21,91.04,6.09,216.05,2.32,Rice
96.7,65.1,101.1,23.64,51.98,5.92,129.46,2.12,Tomato
33.9,53.8,82.8,28.53,66.71,6.63,100.95,1.48,Sweet Potato
72.3,40.5,129.2,30.99,85.36,6.39,200.94,3.13,Durian
34.5,30.3,132.6,25.2,77.23,7.04,223.38,2.1,Coconut
93.0,91.5,67.3,22.04,70.23,6.32,73.71,1.91,Tomato
114.6,41.0,74.5,28.57,65.94,6.19,138.85,2.18,Eggplant
84.6,75.0,81.0,24.67,54.64,6.55,118.28,2.38,Tomato
117.0,49.2,30.5,27.58,59.88,6.65,87.82,2.03,Corn
67.9,38.7,40.0,28.05,79.38,5.32,219.61,3.32,Cacao
16.3,30.8,157.9,28.72,79.27,6.69,172.62,2.62,Coconut
43.0,66.2,111.0,29.36,77.32,6.46,135.55,1.54,Sweet Potato
30.5,38.6,163.6,28.2,75.11,6.06,106.92,2.25,Coconut
27.0,44.1,123.2,26.76,79.43,5.81,128.47,1.22,Sweet Potato
55.8,28.5,72.9,22.55,64.05,6.03,66.08,2.4,Sweet Potato
118.6,73.7,39.6,29.76,62.88,6.9,84.36,2.44,Eggplant
129.5,38.0,180.6,27.68,90.54,6.55,201.87,2.59,Banana
85.9,58.0,86.3,30.38,74.86,6.61,129.09,2.84,Papaya
138.5,39.6,50.6,23.65,62.31,5.7,110.78,2.02,Eggplant
72.3,44.9,116.1,27.06,81.64,6.02,251.01,3.04,Durian
106.4,43.7,39.5,26.65,76.36,5.99,231.41,2.68,Rice
106.4,88.2,77.8,26.54,62.27,5.32,85.67,2.39,Tomato
59.5,38.5,47.3,25.24,71.06,5.73,232.05,2.87,Rice
77.6,40.4,23.7,25.38,73.51,6.99,78.26,2.31,Corn
84.2,29.5,28.8,27.47,78.53,6.79,176.11,3.31,Rice
105.3,37.3,49.5,25.59,74.45,6.03,103.8,1.69,Corn
78.9,43.0,104.6,26.55,72.03,6.53,153.14,3.02,Papaya
112.5,70.9,67.9,30.48,73.79,6.76,139.38,2.75,Papaya
148.7,44.6,154.5,28.41,84.36,5.34,152.79,3.7,Banana
53.4,44.5,68.9,28.68,64.52,6.62,124.6,2.6,Mango
117.4,48.9,70.8,29.11,67.42,5.91,125.09,3.76,Papaya
80.4,31.2,36.0,20.37,65.3,5.51,99.42,1.45,Corn
78.3,51.8,54.3,32.0,72.12,5.44,170.35,1.61,Papaya
152.8,48.4,221.6,29.89,80.9,6.28,158.17,3.85,Banana
32.5,28.4,78.8,26.53,65.86,5.34,157.92,1.54,Cassava
51.6,12.1,81.1,26.53,70.79,4.97,149.94,2.07,Cassava
52.3,35.7,77.5,30.29,88.81,6.39,164.64,2.26,Cacao
72.9,39.8,80.6,28.91,76.66,5.44,126.0,2.31,Cacao
33.5,26.2,119.6,28.7,83.3,6.3,147.97,2.38,Coconut
86.2,46.1,45.2,23.22,68.12,6.15,76.72,1.85,Corn
101.4,61.1,83.2,24.13,54.56,5.93,121.23,2.28,Tomato
42.1,55.5,104.9,28.8,74.96,6.45,70.35,2.06,Sweet Potato
42.5,38.2,65.6,28.75,71.58,6.49,212.77,3.24,Cacao
83.8,47.4,49.8,28.34,68.38,5.97,93.74,2.57,Eggplant
129.3,45.3,58.4,25.58,67.32,6.31,99.41,2.62,Eggplant
76.5,20.0,83.4,27.72,89.18,4.91,250.0,3.12,Cacao
92.1,63.0,37.6,26.51,50.42,5.83,76.91,1.77,Corn
104.0,55.9,77.7,28.89,77.57,6.82,76.21,1.72,Eggplant
40.4,31.4,61.4,31.7,83.73,6.66,126.13,0.93,Cassava
81.9,42.9,66.4,25.49,80.19,6.0,193.04,2.48,Cacao
36.9,57.4,81.1,25.71,69.09,5.94,129.78,2.22,Coconut
64.2,47.2,85.6,24.08,77.56,5.68,209.18,2.61,Cacao
57.0,30.9,93.9,28.95,80.16,5.96,133.84,1.56,Cassava
128.6,65.2,87.8,26.7,76.91,6.37,290.02,2.86,Durian
73.5,64.4,26.7,25.94,79.97,6.04,105.39,2.24,Corn
37.8,30.2,37.2,28.54,56.42,6.81,150.37,1.71,Mango
41.9,43.3,41.1,24.94,59.52,6.72,111.52,2.58,Mango
112.2,48.8,126.5,27.56,86.18,5.85,219.96,3.97,Banana
142.1,43.5,65.1,26.19,69.84,6.06,157.93,2.69,Eggplant
70.3,43.0,111.3,22.57,75.68,6.85,158.67,3.78,Cacao
20.2,15.6,141.0,24.52,81.37,5.8,267.23,2.58,Coconut
37.0,33.6,40.8,26.27,66.68,6.41,104.17,2.45,Mango
84.9,28.2,38.2,27.87,81.05,5.66,241.54,2.25,Rice
31.3,23.2,119.6,26.61,75.37,6.81,102.91,1.55,Cassava
85.3,54.2,118.5,30.46,79.31,6.82,209.57,3.18,Durian
67.5,40.1,32.2,24.94,72.18,6.81,90.13,1.85,Corn
86.8,42.2,85.2,30.03,81.3,5.71,123.94,2.22,Eggplant
68.9,31.4,150.7,26.41,71.05,6.01,144.96,2.1,Sweet Potato
43.6,56.9,162.1,28.86,80.12,5.72,103.12,2.23,Coconut
43.5,36.6,108.0,28.5,77.17,6.02,101.21,1.33,Sweet Potato
58.4,59.0,106.8,27.82,77.52,6.62,226.09,2.15,Durian
56.8,25.6,72.9,29.84,59.56,6.81,147.41,2.96,Mango
105.8,54.2,67.4,27.89,66.91,5.93,87.8,3.85,Eggplant
121.6,53.1,162.4,26.96,83.97,6.84,131.04,3.25,Banana
101.4,56.6,54.9,28.53,73.22,6.75,98.19,2.93,Eggplant
35.3,44.0,86.8,24.94,74.43,5.9,119.7,2.32,Sweet Potato
140.3,43.7,167.8,26.99,81.15,7.08,210.61,3.48,Banana
89.4,59.0,62.1,24.78,59.59,5.89,106.43,2.38,Eggplant
42.4,43.9,69.0,23.78,58.64,7.28,86.45,2.04,Mango
66.3,39.4,97.5,25.95,79.91,6.13,198.75,3.58,Coconut
130.0,65.0,96.4,28.27,86.98,5.74,350.0,3.78,Durian
101.9,62.4,51.9,25.28,66.87,5.0,140.0,2.68,Tomato
110.5,37.4,173.5,26.79,88.18,5.94,146.1,4.94,Banana
12.7,27.7,87.0,31.14,74.91,4.94,139.75,1.51,Cassava
127.9,27.3,160.4,25.7,81.35,5.35,181.7,4.67,Banana
86.0,76.9,59.4,27.25,72.86,5.87,98.44,1.77,Eggplant
121.4,52.0,84.3,23.08,77.1,5.84,306.09,2.22,Durian
56.6,15.0,154.9,27.97,77.27,6.09,213.87,2.06,Coconut
129.0,58.2,135.6,25.52,82.74,5.9,158.41,2.95,Banana
36.9,38.5,62.8,25.52,75.97,5.9,115.53,1.0,Sweet Potato
132.0,40.0,201.5,29.23,79.48,5.97,180.49,2.0,Banana
85.5,33.7,26.5,27.42,67.67,5.83,106.36,1.63,Corn
31.3,24.9,98.9,32.12,68.67,6.32,111.53,1.97,Cassava
64.6,42.1,74.2,30.17,80.13,4.82,177.81,3.58,Cacao
58.6,29.7,40.2,26.83,65.55,5.88,116.45,1.5,Corn
59.7,33.0,62.3,24.46,76.89,6.03,103.13,2.57,Sweet Potato
38.7,39.8,113.6,29.82,81.2,7.77,106.85,2.57,Coconut
41.0,10.9,86.1,29.88,63.11,6.04,138.28,2.2,Cassava
60.8,33.0,35.9,27.75,66.77,6.44,105.21,2.87,Corn
123.0,43.4,39.1,31.07,73.19,5.92,164.59,2.07,Eggplant
64.6,45.5,104.7,29.29,74.94,6.69,173.55,2.4,Coconut
53.3,42.0,92.8,27.87,94.17,5.39,216.89,3.0,Cacao
29.1,51.7,139.6,29.96,64.06,5.74,124.96,1.62,Sweet Potato
60.0,71.2,77.5,26.23,66.7,6.55,77.88,1.68,Tomato
63.9,51.2,36.7,24.27,64.39,6.12,100.78,2.53,Corn
86.3,40.0,83.7,23.6,53.98,6.29,71.08,2.67,Tomato
15.8,23.2,68.1,31.57,71.61,6.04,127.65,1.36,Cassava
78.6,46.2,95.5,25.92,64.83,6.73,50.64,2.69,Tomato
35.7,29.2,127.6,25.39,65.0,6.81,194.82,2.22,Coconut
50.4,38.6,38.0,30.56,92.63,5.5,270.04,2.27,Rice
16.5,39.1,102.8,25.91,86.42,6.71,213.37,1.91,Coconut
76.6,34.1,26.8,30.45,87.37,5.08,166.4,3.3,Rice
42.9,29.4,90.9,29.11,76.6,5.48,145.38,0.91,Cassava
41.2,24.7,56.1,26.97,78.95,5.94,279.29,2.91,Rice
30.0,42.5,49.1,29.0,53.49,7.33,143.19,1.98,Mango
111.8,80.0,105.4,28.23,61.92,6.22,169.75,3.04,Papaya
76.8,80.0,120.6,27.0,79.49,5.73,225.32,2.09,Durian
124.2,34.9,48.4,28.13,75.78,5.21,216.46,3.77,Rice
49.9,35.1,43.6,26.22,83.75,5.44,247.91,3.62,Rice
72.1,58.9,83.5,32.46,78.14,6.25,155.32,3.17,Papaya
72.4,55.4,75.0,29.9,85.16,6.66,229.4,3.45,Durian
53.7,48.9,116.2,25.23,66.57,5.94,60.63,1.8,Sweet Potato
